herbKey|familyKey
Astragalus|Fabaceae
Boneset|Compositaceae
Catnip|Lamiaceae
Elder|Adoxaceae
Garlic|Liliaceae
Hops|Cannabaceae
Maitake|Meripilaceae
Passionflower|Passifloraceae
Rose|Rosaceae
Shiitake|Marasmiaceae
Witch Hazel|Hamamelidaceae
