familyKey|familyName
Adoxaceae|Adoxaceae
Compositaceae|Compositaceae
Fabaceae|Fabaceae
Hamamelidaceae|Hamamelidaceae
Lamiaceae|Lamiaceae
Marasmiaceae|Marasmiaceae
Passifloraceae|Passifloraceae
Rosaceae|Rosaceae
